奶茶店名称,地址,纬度,经度
CHAGEE霸王茶姬(武汉群星城店),徐东大街120号,30.59094,114.355378
CHAGEE霸王茶姬(越秀国金天地店),解放大道与新华路交叉口越秀武汉国金天地1层L1004号商铺-1,30.590745,114.283859
CHAGEE霸王茶姬(光谷金融港店),湖北省武汉市江夏区光谷金融港B22栋1楼1室05号商铺,30.462636,114.435526
CHAGEE霸王茶姬(金地广场店),团结大道1335号金地户外广场A1铺位,30.609534,114.391084
CHAGEE霸王茶姬(壹方北馆店),分金社区永和路8号壹方北馆2号门,30.62207,114.321493
CHAGEE霸王茶姬(武汉金融金树街店),临江大道9号金融街融御滨江A区2号楼1层4-5号商铺,30.546542,114.299112
CHAGEE霸王茶姬(南湖时尚城店),南湖大道116号南湖时尚城K4b栋1层商铺1号,30.484018,114.393275
CHAGEE霸王茶姬(凯德西城店),解放大道18号凯德广场西城购物中心01层02B号商铺,30.603108,114.200749
CHAGEE霸王茶姬(三联readway店),江汉路花楼街口江汉路61号13号商铺,30.584455,114.299822
CHAGEE霸王茶姬(江宸龙湖天街店),青年路518号武汉江宸天街负二楼A-B2-37号,30.613217,114.2674
CHAGEE霸王茶姬(保利广场店),东湖新技术开发区关山大道332号武汉保利广场内B1层铺号B1-102号商铺,30.496036,114.417046
CHAGEE霸王茶姬(新唐万科店),新唐万科广场1号门01-41号铺位,30.629552,114.267767
CHAGEE霸王茶姬(银泰御华里店),怡和路1号银泰御华园三期S1栋1层11-12商铺,30.647184,114.314892
CHAGEE霸王茶姬(菱角湖万达广场店),唐家墩路菱角湖万达广场室内步行街1层1035B、1-36号铺,30.616431,114.276526
CHAGEE霸王茶姬(壹方南馆店),中山大道1515号武汉天地壹方南馆1层商11A单元,30.615101,114.316593
CHAGEE霸王茶姬(新世界百货徐东店),徐东大街31号武汉新世界千姿百货一层L01F145号商铺,30.594861,114.353028
CHAGEE霸王茶姬(武汉光谷德国风情街店),珞喻路766号德国风情街8号楼1层1027、1028,30.507056,114.415515
CHAGEE霸王茶姬(金桥永旺店),金桥大道15号金桥永旺梦乐城1楼143B号,30.636123,114.290398
CHAGEE霸王茶姬(金银湖万达店),金山大道1239号武汉金银湖万达广场1F层1002号商铺,30.643247,114.185381
CHAGEE霸王茶姬(武汉雄楚一号店),雄楚大道888号金地·雄楚1号一期商6栋1-4层11室,30.504128,114.397267
CHAGEE霸王茶姬(武汉绿地汉口中心店),塔子湖绿地汉口中心(二期)第S3幢/单元1层(15)商,30.66254,114.299992
CHAGEE霸王茶姬(武汉千禧城店),解放大道与古田三路交汇处千禧城K3项目L1层12、13、36、37号,30.602757,114.211193
CHAGEE霸王茶姬(大洋中心店),解放大道1381号南国中心2期一层B-F1-017号,30.591176,114.289097
沪上阿姨鲜果茶(银泰创意城店),珞喻路35号银泰创意城8楼8020室,30.532782,114.362735
沪上阿姨鲜果茶(黄陂广场店),黄陂大道黄陂广场DE栋1层123号,30.886134,114.381226
沪上阿姨鲜果茶(海林广场店),吴家山三秀路海林广场1层蔡林记前面,30.628371,114.150746
沪上阿姨鲜果茶(北辰光谷里店),高新二路9号北辰光谷里8栋101号铺,30.487189,114.422843
沪上阿姨鲜果茶(纱帽街店),纱帽街汉南大道488号,30.314924,114.09001
沪上阿姨鲜果茶(多莫大教堂店),武汉东湖新技术开发区光谷街20号光谷世界城康桥小区2栋2单元1层05号,30.508058,114.412075
沪上阿姨鲜果茶(武昌职业学院店),中洲路武昌职业学院东一门斜对面,30.378461,114.410155
沪上阿姨鲜果茶(硚口长风路店),长风路团结佳兴园14栋1楼2号,30.618491,114.213779
沪上阿姨鲜果茶(户部巷店),中华路街民主路65号2单元1-2层2室-2,30.552596,114.303967
沪上阿姨鲜果茶(东澜岸店),青菱街红霞村福星惠誉东澜岸40-1-6号商铺,30.438093,114.272603
沪上阿姨鲜果茶(青山恩施街店),恩施街17号附1号,30.627435,114.400822
沪上阿姨鲜果茶(五环天地店),虎泉街267号五环天地招商中心S1-2-1,30.511533,114.387631
沪上阿姨鲜果茶(金地自在城店),K3商业街D01号商铺,30.610574,114.391778
沪上阿姨鲜果茶(联投广场店),大桥现代产业园大桥村联投广场商业区二期第32号商业幢32-1单元一层83号房,30.379722,114.327506
沪上阿姨鲜果茶(奥莱西街店),盘龙城F绿岛奥莱西街S6-103号,30.738321,114.261469
沪上阿姨鲜果茶(蔡甸薛峰店),后官湖大道薛峰小区南区底商1层A区19号,30.465335,114.099997
沪上阿姨鲜果茶(泛悦西汇店),宗关街泛悦·南国广场A馆1层G-F1-073单元,30.590968,114.229612
沪上阿姨鲜果茶(博学路店),博学路2号潮海公寓13商铺116号,30.52762,114.162598
沪上阿姨鲜果茶(天河机场店),天河机场交通中心1F展一号商铺-1（天河机场地铁站B出口）,30.777476,114.223992
沪上阿姨鲜果茶(地大未来城店),锦程街68号中国地质大学未来城校区学生1食堂,30.461418,114.624557
沪上阿姨鲜果茶(新洲大礼堂店),邾城街新洲大街41-2号,30.849299,114.805849
沪上阿姨鲜果茶(软件新城店),东湖新技术开发区花山软件新城二期C9号楼1层部分区域,30.558698,114.509875
沪上阿姨鲜果茶(马湖商业街店),马湖商业街A2-107门面,30.480584,114.330995
沪上阿姨鲜果茶(南国北都店),姑嫂树路12号南国北都城市广场裙楼幢、单元1层1号房,30.632404,114.272685
沪上阿姨鲜果茶(湘隆时代广场店),湘隆时代商业中心A区9-13号,30.502444,114.174976
沪上阿姨鲜果茶(武汉江腾广场店),马鹦路117号江腾广场2号楼4层c2-4019号,30.543254,114.262257
沪上阿姨鲜果茶(武汉文华学院店),东湖新技术开发区创业街祥和雅居6栋1层605号、606号-7,30.5039,114.44254
沪上阿姨鲜果茶(经开万达金街店),东风东路万达广场A区S1幢1层B51号,30.513346,114.181349
沪上阿姨鲜果茶(凯德西城店),解放大道18号凯德广场05层04号电影院旁边,30.602668,114.19991
