奶茶店名称,地址,纬度,经度
茶颜悦色(五环天地店),虎泉街267号五环天地2-1-B01-03号,30.512212,114.387171
茶颜悦色(泛悦南国广场店),解放大道387号泛悦·南国广场A馆1层ZW1002单元铺位号为G-1-000,30.590296,114.229031
茶颜悦色(华罗利广场店),纺织路1号华罗利广场一层A-04-03,30.489297,114.402633
茶颜悦色(中商世界里店),珞喻路726号鲁巷广场购物中心B1层（中商超市入口对面）,30.511696,114.402207
茶颜悦色(取水楼店),新华路213号Z·YSTREET中英街1号楼1楼附5号,30.599363,114.279046
茶颜悦色(武汉新世界一楼茶叶子店),湖北省武汉市江汉区建设大道566号新世界百货一楼L01F032号商铺,30.600921,114.275882
蜜雪冰城(海林广场店),田园大道1116号海林广场1层,30.628525,114.150303
蜜雪冰城(光谷天地店),关山大道519号光谷天地1层,30.484582,114.416642
蜜雪冰城(大智路店),中山大道729号,30.593729,114.303106
蜜雪冰城(二七店),二七街解放大道2159号航天星都C8栋115室,30.630142,114.322835
蜜雪冰城(江汉路地铁B出口店),武汉轨道交通2号线江汉路地下商业街JH2-31商铺物业中A95号,30.58542,114.298387
蜜雪冰城(二中店),中山大道1560号,30.611522,114.315094
蜜雪冰城(户部巷店),湖北省武汉市武昌区民主路69号1-1号,30.552766,114.304517
蜜雪冰城(武昌火车站店),中山路653号1-4,30.533126,114.321318
蜜雪冰城(街道口店),珞狮路未来城B、C栋负1楼25室,30.531889,114.359774
蜜雪冰城(武音店),解放路284号,30.544666,114.304566
蜜雪冰城(中南店),中南一路3号嘉园大厦1、2栋-1层1室13-15号、1-3号,30.543692,114.338613
蜜雪冰城(马场角店),马场角小路36号华西公寓1层12号-2,30.614995,114.273153
蜜雪冰城(曙光星城中心店),雄庄路曙光星城C区3-116号,30.488673,114.410001
蜜雪冰城(奓山店),联富路8号,30.456473,114.022821
蜜雪冰城(江汉路烟火巷店),江汉路32号烟火巷美食街A-6号房屋,30.584366,114.301284
蜜雪冰城(堤角店),堤角前街6附10号,30.665306,114.348306
蜜雪冰城(兴业南路店),后湖街金桥大道18号新地盛世东方17栋1层3室兴业南路蜜雪冰城,30.644089,114.308427
蜜雪冰城(中商店),阳逻街阳光大道389号阳逻广场T1、T2栋一层34号,30.669022,114.573878
蜜雪冰城(磨山景区店),鲁磨路665号磨山景区南门驿站3栋02号,30.550254,114.4144
蜜雪冰城(龙阳村店),龙阳大道49号龙阳时代负一层08号A001-1商铺,30.557749,114.213613
蜜雪冰城(梨园店),湖北省武汉市武昌区沿湖大道20号,30.581,114.382129
蜜雪冰城(精典公寓店),石牌岭路精典公寓C104,30.532916,114.348823
蜜雪冰城(越秀星汇君泊店),塔子湖组团J地块S1幢1层商2号房,30.654906,114.288436
蜜雪冰城(华农1店),华中农业大学商业一条街C18梧桐路步行街6号商铺,30.480689,114.356411
蜜雪冰城(光谷二路商贸学院店),武汉商贸职业学院附近,30.445041,114.468366
蜜雪冰城(滠口店),滠阳大街120号,30.720174,114.360431
蜜雪冰城(恒大龙城店),盘龙城新力帝泊湾2-19号,30.727045,114.240051
蜜雪冰城(马湖店),野芷湖西路马湖南湖酒店用品大市场2034号店铺,30.480584,114.331548
蜜雪冰城(齐安大道店),齐安大道96号,30.841283,114.810107
蜜雪冰城(壹站城店),车场南路7号壹站城商业步行街1楼C21F59号,30.664358,114.258858
蜜雪冰城(武湖店),武湖农场正街冰晶天兴城小区6栋一层1号01,30.70798,114.425422
蜜雪冰城(烽火店),白沙洲大道208号外2号,30.509922,114.302195
蜜雪冰城(美院店),美术学院小吃街,30.395226,114.42585
蜜雪冰城(康桥店),东湖新技术开发区光谷街20号光谷世界城康桥小区2栋2单元1层07一1号,30.508022,114.412163
蜜雪冰城(武汉理工大学南湖校区北区校内店),文荟街武汉理工大学南湖校区教育超市内,30.515888,114.3352
