lon,lat,name,address,pname,cityname,business_area,type
114.7985964446687,30.83307687378326,中国农业发展银行(新洲区支行),齐安大道159号,湖北省,武汉市,邾城,金融保险服务;银行;银行
114.56478119340234,30.70590172695681,中国农业银行24小时自助银行(武汉润阳支行),阳逻经济开发区余泊北路特1号,湖北省,武汉市,长江新区,金融保险服务;自动提款机;中国农业银行ATM
114.5741797677696,30.691623234103304,兴业银行(武汉长江新区支行),阳逻街柴泊大街12号新港财富广场1栋234商铺,湖北省,武汉市,长江新区,金融保险服务;银行;兴业银行
114.56926108707984,30.67061037909204,中国邮政储蓄银行(高新街营业所),高新街1号,湖北省,武汉市,阳逻,金融保险服务;银行;中国邮政储蓄银行
114.79024942209732,30.929361293732605,中国农业银行(武汉三店支行),三店街龙丘大道495号,湖北省,武汉市,,金融保险服务;银行;中国农业银行
114.79545056030923,30.846258330508892,中国建设银行(武汉邾城支行),新洲大街94号,湖北省,武汉市,邾城,金融保险服务;银行;中国建设银行
114.5622629976937,30.655789662753946,武汉农村商业银行(长江支行),汽渡路109号,湖北省,武汉市,长江新区,金融保险服务;银行;农村商业银行
114.80744811994694,30.83906081214292,武汉农村商业银行(辛冲支行),文昌大道与向阳路交叉口北120米,湖北省,武汉市,邾城,金融保险服务;银行;农村商业银行
114.55922997260346,30.659910560195254,中国建设银行24小时自助银行(东风路储蓄所),阳光大道201-203号,湖北省,武汉市,阳逻,金融保险服务;自动提款机;中国建设银行ATM
114.57497969872179,30.691540916874256,中国邮政储蓄银行,柴泊大道与红岭路交叉口西180米,湖北省,武汉市,长江新区,金融保险服务;银行;中国邮政储蓄银行
114.79876716588082,30.840088218480133,中国邮政储蓄银行(城南支行),齐安大道61号,湖北省,武汉市,邾城,金融保险服务;银行;中国邮政储蓄银行
114.56217114974721,30.663999882847126,汉口银行(阳逻港支行),阳光大道220号,湖北省,武汉市,阳逻,金融保险服务;银行;银行
114.52750747798629,30.710669426511327,武汉农村商业银行(界埠支行),阳逻街,湖北省,武汉市,长江新区,金融保险服务;银行;农村商业银行
114.70455284547027,30.78189843956039,武汉农村商业银行(汪集支行),汪兴路149号,湖北省,武汉市,汪集,金融保险服务;银行;农村商业银行
