奶茶店名称,地址,纬度,经度
蜜雪冰城(八大家花园店),建设三路25附1,30.631241,114.388281
四季花奶茶店,湖北省武汉市蔡甸区蔡甸实验高中,30.590687,114.024847
古茗(理工大南湖校区店),武汉理工大学南湖校区270号-2商铺,30.516005,114.33551
卷卷奶茶店(蔡甸总店),武汉市蔡甸区树藩大街文兴花园西侧,30.586459,114.027852
CoCo都可(黄陂广场店),前川街黄陂大道黄陂广场地上第一层2191F1F0018-B号铺位,30.886843,114.381233
蜜雪冰城(长江大学店),连通路长江大学华林学生公寓48号,30.541696,114.033996
蜜雪冰城(保利商业街店),圆梦路圆梦湾酒楼对面,30.696278,114.584723
蜜雪冰城(武生院店),汉施路武汉生物工程学院内,30.718124,114.536031
蜜雪冰城(财税学院店),白沙洲大道519号湖北财税职业学院,30.519914,114.305034
书亦烧仙草(生物城店),高新大道666号光谷生物城创新基地E区s6-103号商铺,30.487872,114.486799
1点点(万科未来中心店),湖北省武汉市汉阳区汉阳大道408号(地铁4号线五里墩站C出口)万科未来中心VFCB1,30.560571,114.250616
古茗(城市职业学院店),武汉城市职业学院南校区南李路127号附3,30.44546,114.31992
书亦烧仙草(梅南山居店),庙山产业园梅南山居商网35号一楼,30.42034,114.379385
吾饮良品水果茶(前川欣城店),前川欣城一期8栋1-2层3室,30.871858,114.376668
书亦烧仙草(惠民苑店),永丰街黄金口五村特1号惠民苑三期经济适用房33栋1-2层3-28室,30.591674,114.176745
港饮之港(湖工店),军威路,30.488026,114.314811
小镇奶茶,武汉市蔡甸区玉贤路武汉市蔡甸区玉贤镇初级中学东北侧约140米,30.530045,113.991487
