name,2020年
北京,12.64
天津,11.29
河北,9.84
山西,10.45
内蒙古,10.08
辽宁,10.34
吉林,10.17
黑龙江,9.93
上海,11.81
江苏,10.21
浙江,9.79
安徽,9.35
福建,9.66
江西,9.7
山东,9.75
河南,9.79
湖北,10.02
湖南,9.88
广东,10.38
广西,9.54
海南,10.1
重庆,9.8
四川,9.24
贵州,8.75
云南,8.82
西藏,6.75
陕西,10.26
甘肃,9.13
青海,8.85
宁夏,9.81
新疆,10.11
